维度细分,实时因子名,授信因子名（离线推送至实时）,趋势类二次衍生,数值类型,解释,上线时间
FDC放款,idn_fdc_is_white,idn_fdc_is_white_c,idn_fdc_is_white_diff,double,是否为FDC放款白户,2025-06
FDC放款,idn_fdc_user_income_avg,idn_fdc_user_income_avg_c,idn_fdc_user_income_avg_diff,double,用户收入的平均值,2025-06
FDC放款,idn_fdc_loan_cnt,idn_fdc_loan_cnt_c,idn_fdc_loan_cnt_diff,double,放款笔数,2025-06
FDC放款,idn_fdc_loan_vol_t1_cnt,idn_fdc_loan_vol_t1_cnt_c,idn_fdc_loan_vol_t1_cnt_diff,double,市场规模为t1的放款笔数,2025-06
FDC放款,idn_fdc_loan_vol_t2_cnt,idn_fdc_loan_vol_t2_cnt_c,idn_fdc_loan_vol_t2_cnt_diff,double,市场规模为t2的放款笔数,2025-06
FDC放款,idn_fdc_loan_vol_t3_cnt,idn_fdc_loan_vol_t3_cnt_c,idn_fdc_loan_vol_t3_cnt_diff,double,市场规模为t3的放款笔数,2025-06
FDC放款,idn_fdc_loan_vol_t4_cnt,idn_fdc_loan_vol_t4_cnt_c,idn_fdc_loan_vol_t4_cnt_diff,double,市场规模为t4的放款笔数,2025-06
FDC放款,idn_fdc_loan_risk_t1_cnt,idn_fdc_loan_risk_t1_cnt_c,idn_fdc_loan_risk_t1_cnt_diff,double,风险等级为t1的放款笔数,2025-06
FDC放款,idn_fdc_loan_risk_t2_cnt,idn_fdc_loan_risk_t2_cnt_c,idn_fdc_loan_risk_t2_cnt_diff,double,风险等级为t2的放款笔数,2025-06
FDC放款,idn_fdc_loan_risk_t3_cnt,idn_fdc_loan_risk_t3_cnt_c,idn_fdc_loan_risk_t3_cnt_diff,double,风险等级为t3的放款笔数,2025-06
FDC放款,idn_fdc_loan_risk_t4_cnt,idn_fdc_loan_risk_t4_cnt_c,idn_fdc_loan_risk_t4_cnt_diff,double,风险等级为t4的放款笔数,2025-06
FDC放款,idn_fdc_loan_risk_t5_cnt,idn_fdc_loan_risk_t5_cnt_c,idn_fdc_loan_risk_t5_cnt_diff,double,风险等级为t5的放款笔数,2025-06
FDC放款,idn_fdc_loan_adkm_cnt,idn_fdc_loan_adkm_cnt_c,idn_fdc_loan_adkm_cnt_diff,double,ADAKAMI的放款笔数,2025-06
FDC放款,idn_fdc_loan_esch_cnt,idn_fdc_loan_esch_cnt_c,idn_fdc_loan_esch_cnt_diff,double,EASYCASH的放款笔数,2025-06
FDC放款,idn_fdc_loan_kdpt_cnt,idn_fdc_loan_kdpt_cnt_c,idn_fdc_loan_kdpt_cnt_diff,double,KREDITPINTAR的放款笔数,2025-06
FDC放款,idn_fdc_loan_type_pl_cnt,idn_fdc_loan_type_pl_cnt_c,idn_fdc_loan_type_pl_cnt_diff,double,借款类型为先享后付的放款笔数,2025-06
FDC放款,idn_fdc_loan_type_cl_cnt,idn_fdc_loan_type_cl_cnt_c,idn_fdc_loan_type_cl_cnt_diff,double,借款类型为现金分期的放款笔数,2025-06
FDC放款,idn_fdc_loan_type_oth_cnt,idn_fdc_loan_type_oth_cnt_c,idn_fdc_loan_type_oth_cnt_diff,double,借款类型为其他的放款笔数,2025-06
FDC放款,idn_fdc_loan_status_l_cnt,idn_fdc_loan_status_l_cnt_c,idn_fdc_loan_status_l_cnt_diff,double,借款状态为已结清的放款笔数,2025-06
FDC放款,idn_fdc_loan_status_o_cnt,idn_fdc_loan_status_o_cnt_c,idn_fdc_loan_status_o_cnt_diff,double,借款状态为在贷的放款笔数,2025-06
FDC放款,idn_fdc_loan_status_w_cnt,idn_fdc_loan_status_w_cnt_c,idn_fdc_loan_status_w_cnt_diff,double,借款状态为核销的放款笔数,2025-06
